Mehdi	Time			Temp	SetPoint						
PID_out	366	0	0	400	400	100	10	100			(Ki=0,05,Kd=0,02,Kp=1,5)
PID_out	367	0,1	0	400	400	100	10	100			
PID_out	368	0,2	0	400	400	100	10	100			
PID_out	369	0,3	0	400	400	100	10	100			
PID_out	370	0,4	0	400	400	100	10	100			
PID_out	371	0,5	0	400	400	100	10	100			
PID_out	372	0,6	0	400	400	100	10	100			
PID_out	373	0,7	0	400	400	100	10	100			
PID_out	374	0,8	0	400	400	100	10	100			
PID_out	375	0,9	0	400	400	100	10	100			
PID_out	376	1	0	400	400	100	10	100			
PID_out	377	1,1	0	400	400	100	10	100			
PID_out	378	1,2	0	400	400	100	10	100			
PID_out	379	1,3	0	400	400	100	10	100			
PID_out	380	1,4	0	400	400	100	10	100			
PID_out	381	1,5	0	400	400	100	10	100			
PID_out	382	1,6	0	400	400	100	10	100			
PID_out	383	1,7	0	400	400	100	10	100			
PID_out	384	1,8	0	400	400	100	10	100			
PID_out	385	1,9	0	400	400	100	10	100			
PID_out	386	2	0	400	400	100	10	100			
PID_out	387	2,1	0	400	400	100	10	100			
PID_out	388	2,2	0	400	400	100	10	100			
PID_out	389	2,3	0	400	400	100	10	100			
PID_out	390	2,4	0	400	400	100	10	100			
PID_out	391	2,5	0	400	400	100	10	100			
PID_out	392	2,6	0	400	400	100	10	100			
PID_out	393	2,7	0	400	400	100	10	100			
PID_out	394	2,8	0	400	400	100	10	100			
PID_out	395	2,9	0	400	400	100	10	100			
PID_out	396	3	0	400	400	100	10	100			
PID_out	397	3,1	0	400	400	100	10	100			
PID_out	398	3,2	0	400	400	100	10	100			
PID_out	399	3,3	0	400	400	100	10	100			
PID_out	400	3,4	0	400	400	100	10	100			
PID_out	401	3,5	0	400	400	100	10	100			
PID_out	402	3,6	0	400	400	100	10	100			
PID_out	403	3,7	0	400	400	100	10	100			
PID_out	404	3,8	0	400	400	100	10	100			
PID_out	405	3,9	0	400	400	100	10	100			
PID_out	406	4	0	400	400	100	10	100			
PID_out	407	4,1	0	400	400	100	10	100			
PID_out	408	4,2	0	400	400	100	10	100			
PID_out	409	4,3	0	400	400	100	10	100			
PID_out	410	4,4	0	400	400	100	10	100			
